S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014)
1,Observation Wells,Chennai,3.83,2.96,0.87,
2,Observation Wells,Thiruvallur,2.71,2.93,,0.22
3,Observation Wells,Kanchipuram,2.48,1.78,0.70,
4,Observation Wells,Thiruvannamalai,3.16,3.96,,0.80
5,Observation Wells,Vellore,4.97,7.53,,2.56
6,Observation Wells,Dharmapuri,5.8,6.26,,0.46
7,Observation Wells,Krishnagiri,6.1,6.12,,0.02
8,Observation Wells,Cuddalore,3.51,3.67,,0.16
9,Observation Wells,Villupuram,2.41,2.57,,0.16
10,Observation Wells,Thanjavur,2.88,2.9,,0.02
11,Observation Wells,Thiruvarur,2.15,2.28,,0.13
12,Observation Wells,Nagapattinam,3.37,2.1,1.27,
13,Observation Wells,Trichy,6.44,5.72,0.72,
14,Observation Wells,Karur,5.26,6.84,,1.58
15,Observation Wells,Perambalur,2.93,3.06,,0.13
16,Observation Wells,Pudukkottai,3.30,5.12,,1.82
17,Observation Wells,Salem,7.61,6.71,0.9,
18,Observation Wells,Namakkal,8.97,9.05,,0.08
19,Observation Wells,Erode,5.78,6.55,,0.77
20,Observation Wells Coimbatore,,8.70,7.75,0.95,
21,Observation Well,Thiruppur,6.29,7.73,,1.44
22,Observation Wells,Nilgiris,2.34,2.59,,0.25
23,Observation Wells,Dindigul,5.84,4.99,0.85,
24,Observation Wells,Madurai,2.82,3.29,,0.47
25,Observation Wells,Ramanathapuram,3.65,3.18,0.47,
26,Observation Wells,Sivagangai,3.92,3.23,0.69,
27,Observation Wells,Theni,5.23,7.4,,2.17
28,Observation Wells,Thoothukudi,2.53,2.61,,0.08
29,Observation Wells,Tirunelveli,5.01,3.8,1.21,
30,Observation Wells,Virudhunagar,5.62,4.63,0.99,
31,Observation Wells Kanyakumari,,4.4,5.1,,0.70
